Datetime,Electricity
2017-04-01 00:00:00,1081834.45
2017-04-01 01:00:00,1059999.368
2017-04-01 02:00:00,1037776.432
2017-04-01 03:00:00,1023418.608
2017-04-01 04:00:00,1017838.7679999999
2017-04-01 05:00:00,1011748.412
2017-04-01 06:00:00,1005692.906
2017-04-01 07:00:00,1049890.436
2017-04-01 08:00:00,1129409.92
2017-04-01 09:00:00,1215042.513
2017-04-01 10:00:00,1271374.9479999999
2017-04-01 11:00:00,1289762.783
2017-04-01 12:00:00,1295528.864
2017-04-01 13:00:00,1289538.972
2017-04-01 14:00:00,1298144.504
2017-04-01 15:00:00,1285060.9540000001
2017-04-01 16:00:00,1267502.906
2017-04-01 17:00:00,1239845.9070000001
2017-04-01 18:00:00,1214170.539
2017-04-01 19:00:00,1192270.538
2017-04-01 20:00:00,1169652.582
2017-04-01 21:00:00,1153390.47
2017-04-01 22:00:00,1134816.9309999999
2017-04-01 23:00:00,1104390.519
2017-04-02 00:00:00,1083979.799
2017-04-02 01:00:00,1054757.658
2017-04-02 02:00:00,1031771.816
2017-04-02 03:00:00,1015507.71
2017-04-02 04:00:00,1005511.37
2017-04-02 05:00:00,998663.9585
2017-04-02 06:00:00,988984.2927
2017-04-02 07:00:00,981910.3386
2017-04-02 08:00:00,1006754.01
2017-04-02 09:00:00,1037477.696
2017-04-02 10:00:00,1067492.5690000001
2017-04-02 11:00:00,1087436.883
2017-04-02 12:00:00,1101556.483
2017-04-02 13:00:00,1102347.9070000001
2017-04-02 14:00:00,1107896.479
2017-04-02 15:00:00,1105253.8329999999
2017-04-02 16:00:00,1090685.3490000002
2017-04-02 17:00:00,1081434.721
2017-04-02 18:00:00,1083853.137
2017-04-02 19:00:00,1095305.5690000001
2017-04-02 20:00:00,1094661.0729999999
2017-04-02 21:00:00,1095292.645
2017-04-02 22:00:00,1087013.485
2017-04-02 23:00:00,1075237.477
2017-04-03 00:00:00,1053953.53
2017-04-03 01:00:00,1031061.656
2017-04-03 02:00:00,1014093.98
2017-04-03 03:00:00,1000906.0340000001
2017-04-03 04:00:00,995226.8465
2017-04-03 05:00:00,999713.3364
2017-04-03 06:00:00,1018785.556
2017-04-03 07:00:00,1092136.5790000001
2017-04-03 08:00:00,1226304.712
2017-04-03 09:00:00,1351864.042
2017-04-03 10:00:00,1400862.146
2017-04-03 11:00:00,1432858.983
2017-04-03 12:00:00,1436024.381
2017-04-03 13:00:00,1432351.677
2017-04-03 14:00:00,1449370.725
2017-04-03 15:00:00,1452003.289
2017-04-03 16:00:00,1443140.011
2017-04-03 17:00:00,1397271.124
2017-04-03 18:00:00,1329613.727
2017-04-03 19:00:00,1274150.308
2017-04-03 20:00:00,1225077.3590000002
2017-04-03 21:00:00,1188788.882
2017-04-03 22:00:00,1163831.554
2017-04-03 23:00:00,1132842.785
2017-04-04 00:00:00,1100260.8290000001
2017-04-04 01:00:00,1074694.13
2017-04-04 02:00:00,1053430.2820000001
2017-04-04 03:00:00,1036980.896
2017-04-04 04:00:00,1032110.088
2017-04-04 05:00:00,1038810.878
2017-04-04 06:00:00,1050236.092
2017-04-04 07:00:00,1119244.435
2017-04-04 08:00:00,1242867.3229999999
2017-04-04 09:00:00,1363118.606
2017-04-04 10:00:00,1424186.644
2017-04-04 11:00:00,1442092.596
2017-04-04 12:00:00,1449823.437
2017-04-04 13:00:00,1451535.233
2017-04-04 14:00:00,1467597.745
2017-04-04 15:00:00,1461455.735
2017-04-04 16:00:00,1441140.56
2017-04-04 17:00:00,1393473.16
2017-04-04 18:00:00,1324456.733
2017-04-04 19:00:00,1273364.53
2017-04-04 20:00:00,1224903.951
2017-04-04 21:00:00,1191029.4579999999
2017-04-04 22:00:00,1160421.414
2017-04-04 23:00:00,1128693.905
2017-04-05 00:00:00,1098477.769
2017-04-05 01:00:00,1074217.6840000001
2017-04-05 02:00:00,1052578.838
2017-04-05 03:00:00,1032492.06
